                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                0.69918,                0.39449,                0.87077,                0.99583,                      1,                  0.995,                0.86514,                 0.6104,                0.30277,                0.84295,             0.00050386,             0.00050386,             0.00050386
                    140,                0.69681,                 0.3838,                0.86876,                0.99609,                0.99887,                  0.995,                0.86278,                0.59764,                0.30598,                0.83833,             0.00049946,             0.00049946,             0.00049946
                    141,                 0.6727,                0.38757,                0.86527,                 0.9961,                 0.9974,                0.99499,                0.85874,                0.62531,                 0.3057,                0.84144,             0.00049506,             0.00049506,             0.00049506
                    142,                0.66978,                0.37385,                0.84987,                0.99651,                0.99834,                0.99495,                0.86848,                0.57898,                 0.2946,                0.83205,             0.00049066,             0.00049066,             0.00049066
                    143,                0.66205,                0.36369,                0.86072,                0.99682,                      1,                0.99498,                0.85994,                0.61954,                0.30309,                0.83943,             0.00048626,             0.00048626,             0.00048626
                    144,                0.64733,                0.37074,                0.85556,                0.99639,                0.99872,                0.99499,                0.86815,                0.60057,                0.30148,                 0.8333,             0.00048186,             0.00048186,             0.00048186
                    145,                0.66109,                0.36999,                0.85078,                0.99678,                0.99872,                  0.995,                0.84603,                0.65726,                0.30865,                 0.8486,             0.00047746,             0.00047746,             0.00047746
                    146,                0.66471,                0.36759,                0.82873,                0.99708,                0.99932,                  0.995,                0.86253,                0.59349,                0.29616,                0.83535,             0.00047306,             0.00047306,             0.00047306
                    147,                0.61325,                0.36694,                0.78412,                 0.9969,                      1,                  0.995,                0.86854,                0.58735,                0.29703,                0.83256,             0.00046866,             0.00046866,             0.00046866
                    148,                0.62721,                0.36277,                 0.8539,                0.99559,                      1,                  0.995,                0.86418,                0.61083,                0.29293,                0.83869,             0.00046426,             0.00046426,             0.00046426
                    149,                0.65815,                0.36233,                0.85028,                0.99741,                      1,                  0.995,                0.86108,                0.60517,                0.29085,                0.83718,             0.00045987,             0.00045987,             0.00045987
                    150,                0.65436,                 0.3525,                0.84054,                0.99725,                      1,                  0.995,                0.87161,                0.59084,                 0.2892,                0.83656,             0.00045547,             0.00045547,             0.00045547
                    151,                0.59591,                0.35943,                0.76804,                0.99783,                      1,                  0.995,                0.87592,                 0.5584,                0.28202,                0.82742,             0.00045107,             0.00045107,             0.00045107
                    152,                0.64625,                0.34797,                0.83739,                0.99867,                0.99966,                  0.995,                0.86123,                0.60853,                0.29711,                0.83582,             0.00044667,             0.00044667,             0.00044667
                    153,                0.64852,                0.36064,                0.85448,                0.99863,                0.99955,                  0.995,                0.87475,                0.58286,                0.29161,                0.83051,             0.00044227,             0.00044227,             0.00044227
